latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.0678284611789,12.0987306318296,c02ddfe9-9c33-4a6c-adb3-d9a9d2f073a4,Betula,Birke,Betula pendula,Sand-Birke,0,22.00,50.00,157.08,13.00,0
54.0678471761844,12.0988317462978,ba6e2c56-7d17-4df9-adf6-8f204670633a,Betula,Birke,Betula pendula,Sand-Birke,0,19.00,33.00,103.67,11.50,0
54.0678263598317,12.0989006123797,67b9b31f-bcc5-433d-a221-a70c5aafe2ff,Prunus,Kirsche,Prunus padus,Trauben-Kirsche,0,9.00,35.00,109.96,11.50,0
54.067831162719,12.0990996143796,f7f67a1f-48eb-4565-8605-ac1b25a042c3,Betula,Birke,Betula pendula,Sand-Birke,0,12.00,18.00,56.55,11.00,0
54.0678469025773,12.0991147201779,69a1e20a-9eb6-49f8-a00b-ad4576c44398,Betula,Birke,Betula pendula,Sand-Birke,0,17.00,29.00,91.11,8.00,0
54.0678211385581,12.0992021222735,be83630d-9c18-4cc1-853d-4ca4e3449f47,Betula,Birke,Betula pendula,Sand-Birke,0,17.00,34.00,106.81,8.50,0
54.1284845430305,12.1553276821452,bd91a560-43ca-4c14-afd9-30e2b0bdb56d,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,1,8.00,17.00,53.41,7.50,0
54.0717581901525,12.0978121949507,b32fa390-1ad5-4bf3-962b-d1288c77ce47,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,15.00,13.00,40.84,6.80,0
54.0717485255485,12.0978029323144,515ece78-c4e3-4d9c-96e3-2521c27f935c,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,15.00,12.73,40.00,5.00,0
54.0717431122098,12.0977760974714,432b6189-7b90-44a8-86c6-3747c2b19ae3,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,15.00,13.00,40.84,4.70,0
54.0716524043475,12.0977171491461,506b8a2a-1c49-4cf7-be45-f1be5075a57a,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,15.00,25.46,80.00,6.50,0
54.0716451154249,12.0977057332886,d666bd71-9344-45fb-9aea-43677b0a482a,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,10.00,25.46,80.00,6.20,0
54.0716378525772,12.0976842255409,12626cd7-6a6f-46c6-9466-ec65a10dacfd,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,15.00,15.00,47.12,4.00,0
54.0716233992516,12.0976479317296,1e75d2d8-d6c6-4ca3-a5cb-86f265b81757,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,15.00,23.87,75.00,5.20,0
54.0716173033091,12.0976263425486,e4a62304-49fd-4f88-a242-99b622477d28,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,0,15.00,19.00,59.69,4.70,0
